href,text
b'/w3css/w3css_references.asp',b'W3.CSS Reference'
b'/icons/icons_reference.asp',b'Icon Reference'
b'/sass/sass_functions_string.php',b'Sass Reference'
b'/jsref/default.asp',b'JavaScript Reference'
b'/jsref/default.asp',b'HTML DOM Reference'
b'/jquery/jquery_ref_overview.asp',b'jQuery Reference'
b'/angular/angular_ref_directives.asp',b'AngularJS Reference'
b'/appml/appml_reference.asp',b'AppML Reference'
b'/w3js/w3js_references.asp',b'W3.JS Reference'
b'/python/python_reference.asp',b'Python Reference'
b'/java/java_ref_keywords.asp',b'Java Reference'
b'/sql/sql_ref_keywords.asp',b'SQL Reference'
b'/mysql/mysql_ref_functions.asp',b'MySQL Reference'
b'/php/php_ref_overview.asp',b'PHP Reference'
b'/asp/asp_ref_response.asp',b'ASP Reference'
b'/xml/dom_nodetype.asp',b'XML DOM Reference'
b'/xml/dom_http.asp',b'XML Http Reference'
b'/xml/xsl_elementref.asp',b'XSLT Reference'
b'/xml/schema_elements_ref.asp',b'XML Schema Reference'
b'/charsets/default.asp',b'HTML Character Sets'
b'/charsets/ref_html_ascii.asp',b'HTML ASCII'
b'/charsets/ref_html_ansi.asp',b'HTML ANSI'
b'/charsets/ref_html_ansi.asp',b'HTML Windows-1252'
b'/charsets/ref_html_8859.asp',b'HTML ISO-8859-1'
b'/charsets/ref_html_symbols.asp',b'HTML Symbols'
b'/charsets/ref_html_utf8.asp',b'HTML UTF-8'
b'/exercises/index.php',b'Exercises'
b'/html/html_exercises.asp',b'HTML Exercises'
b'/css/css_exercises.asp',b'CSS Exercises'
b'/js/js_exercises.asp',b'JavaScript Exercises'
b'/python/python_exercises.asp',b'Python Exercises'
b'/sql/sql_exercises.asp',b'SQL Exercises'
b'/php/php_exercises.asp',b'PHP Exercises'
b'/java/java_exercises.asp',b'Java Exercises'
b'/c/c_exercises.php',b'C Exercises'
b'/cpp/cpp_exercises.asp',b'C++ Exercises'
b'/cs/cs_exercises.asp',b'C# Exercises'
b'/jquery/jquery_exercises.asp',b'jQuery Exercises'
b'/react/react_exercises.asp',b'React.js Exercises'
b'/mysql/mysql_exercises.asp',b'MySQL Exercises'
b'/bootstrap5/bootstrap_exercises.php',b'Bootstrap 5 Exercises'
b'/bootstrap4/bootstrap_exercises.asp',b'Bootstrap 4 Exercises'
b'/bootstrap/bootstrap_exercises.asp',b'Bootstrap 3 Exercises'
b'/python/numpy/numpy_exercises.asp',b'NumPy Exercises'
b'/python/pandas/pandas_exercises.asp',b'Pandas Exercises'
b'/python/scipy/scipy_exercises.php',b'SciPy Exercises'
b'/typescript/typescript_exercises.php',b'TypeScript Exercises'
b'/excel/excel_exercises.php',b'Excel Exercises'
b'/r/r_exercises.asp',b'R Exercises'
b'/git/git_exercises.asp',b'Git Exercises'
b'/kotlin/kotlin_exercises.php',b'Kotlin Exercises'
b'/go/go_exercises.php',b'Go Exercises'
b'/mongodb/mongodb_exercises.php',b'MongoDB Exercises'
b'/quiztest/default.asp',b'Quizzes'
b'/html/html_quiz.asp',b'HTML Quiz'
b'/css/css_quiz.asp',b'CSS Quiz'
b'/js/js_quiz.asp',b'JavaScript Quiz'
b'/python/python_quiz.asp',b'Python Quiz'
b'/sql/sql_quiz.asp',b'SQL Quiz'
b'/php/php_quiz.asp',b'PHP Quiz'
b'/java/java_quiz.asp',b'Java Quiz'
b'/c/c_quiz.php',b'C Quiz'
b'/cpp/cpp_quiz.asp',b'C++ Quiz'
b'/cs/cs_quiz.asp',b'C# Quiz'
b'/jquery/jquery_quiz.asp',b'jQuery Quiz'
b'/react/react_quiz.asp',b'React.js Quiz'
b'/mysql/mysql_quiz.asp',b'MySQL Quiz'
b'/bootstrap5/bootstrap_quiz.php',b'Bootstrap 5 Quiz'
b'/bootstrap4/bootstrap_quiz.asp',b'Bootstrap 4 Quiz'
b'/bootstrap/bootstrap_quiz.asp',b'Bootstrap 3 Quiz'
b'/python/numpy/numpy_quiz.asp',b'NumPy Quiz'
b'/python/pandas/pandas_quiz.asp',b'Pandas Quiz'
b'/python/scipy/scipy_quiz.php',b'SciPy Quiz'
b'/typescript/typescript_quiz.php',b'TypeScript Quiz'
b'/xml/xml_quiz.asp',b'XML Quiz'
b'/r/r_quiz.asp',b'R Quiz'
b'/git/git_quiz.asp',b'Git Quiz'
b'/kotlin/kotlin_quiz.php',b'Kotlin Quiz'
b'/cybersecurity/cybersecurity_quiz.php',b'Cyber Security Quiz'
b'/accessibility/accessibility_quiz.php',b'Accessibility Quiz'
b'https://campus.w3schools.com/collections/course-catalog',b'Courses'
b'https://campus.w3schools.com/collections/course-catalog/products/html-course',b'HTML Course'
b'https://campus.w3schools.com/collections/course-catalog/products/css-course',b'CSS Course'
b'https://campus.w3schools.com/collections/course-catalog/products/javascript-course',b'JavaScript Course'
b'https://campus.w3schools.com/collections/course-catalog/products/front-end-course',b'Front End Course'
b'https://campus.w3schools.com/collections/course-catalog/products/python-course',b'Python Course'
b'https://campus.w3schools.com/collections/course-catalog/products/sql-course',b'SQL Course'
b'https://campus.w3schools.com/collections/course-catalog/products/php-course',b'PHP Course'
b'https://campus.w3schools.com/collections/course-catalog/products/java-course',b'Java Course'
b'https://campus.w3schools.com/collections/course-catalog/products/c-course-1',b'C++ Course'
b'https://campus.w3schools.com/collections/course-catalog/products/c-course',b'C# Course'
b'https://campus.w3schools.com/collections/course-catalog/products/jquery-course',b'jQuery Course'
b'https://campus.w3schools.com/collections/course-catalog/products/react-js-course',b'React.js Course'
b'https://campus.w3schools.com/collections/course-catalog/products/bootstrap-4-course',b'Bootstrap 4 Course'
b'https://campus.w3schools.com/collections/course-catalog/products/bootstrap-course',b'Bootstrap 3 Course'
b'https://campus.w3schools.com/collections/course-catalog/products/numpy-course',b'NumPy Course'
b'https://campus.w3schools.com/collections/course-catalog/products/pandas-course',b'Pandas Course'
b'https://campus.w3schools.com/collections/course-catalog/products/learn-typescript',b'TypeScript Course'
b'https://campus.w3schools.com/collections/course-catalog/products/xml-course',b'XML Course'
b'https://campus.w3schools.com/collections/course-catalog/products/r-course',b'R Course'
b'https://campus.w3schools.com/collections/course-catalog/products/data-analytics-program',b'Data Analytics Course'
b'https://campus.w3schools.com/collections/course-catalog/products/cyber-security-course',b'Cyber Security Course'
b'https://campus.w3schools.com/collections/course-catalog/products/accessibility-course',b'Accessibility Course'
b'https://campus.w3schools.com/collections/certifications',b'Certificates'
b'https://campus.w3schools.com/collections/certifications/products/html-certificate',b'HTML Certificate'
b'https://campus.w3schools.com/collections/certifications/products/css-certificate',b'CSS Certificate'
b'https://campus.w3schools.com/collections/certifications/products/javascript-certificate',b'JavaScript Certificate'
b'https://campus.w3schools.com/collections/certifications/products/front-end-certificate',b'Front End Certificate'
b'https://campus.w3schools.com/collections/certifications/products/python-certificate',b'Python Certificate'
b'https://campus.w3schools.com/collections/certifications/products/sql-certificate',b'SQL Certificate'
b'https://campus.w3schools.com/collections/certifications/products/php-certificate',b'PHP Certificate'
b'https://campus.w3schools.com/collections/certifications/products/java-certificate',b'Java Certificate'
b'https://campus.w3schools.com/collections/certifications/products/c-certificate',b'C++ Certificate'
b'https://campus.w3schools.com/collections/certifications/products/c-certificate-1',b'C# Certificate'
b'https://campus.w3schools.com/collections/certifications/products/jquery-certificate',b'jQuery Certificate'
b'https://campus.w3schools.com/collections/certifications/products/react-js-certificate',b'React.js Certificate'
b'https://campus.w3schools.com/collections/certifications/products/mysql-certificate',b'MySQL Certificate'
b'https://campus.w3schools.com/collections/certifications/products/bootstrap-5-certificate',b'Bootstrap 5 Certificate'
b'https://campus.w3schools.com/collections/certifications/products/bootstrap-4-certificate',b'Bootstrap 4 Certificate'
b'https://campus.w3schools.com/collections/certifications/products/bootstrap-3-certificate',b'Bootstrap 3 Certificate'
b'https://campus.w3schools.com/collections/certifications/products/typescript-certificate',b'TypeScript Certificate'
b'https://campus.w3schools.com/collections/certifications/products/xml-certificate',b'XML Certificate'
b'https://campus.w3schools.com/collections/certifications/products/excel-certificate',b'Excel Certificate'
b'https://campus.w3schools.com/collections/certifications/products/data-science-certificate',b'Data Science Certificate'
b'https://campus.w3schools.com/collections/certifications/products/cyber-security-certificate',b'Cyber Security Certificate'
b'https://campus.w3schools.com/collections/certifications/products/accessibility-certificate',b'Accessibility Certificate'
b'javascript:void(0)',b'\xc3\x97'
b'javascript:void(0);',b'Tutorials'
b'javascript:void(0);',b'References'
b'javascript:void(0);',b'Exercises'
b'https://campus.w3schools.com/collections/course-catalog',b'Get Certified'
b'/pro/index.php',b'Upgrade'
b'https://www.w3schools.com/spaces',b'Spaces'
b'https://www.w3schools.com/videos/index.php',b'Videos'
b'https://shop.w3schools.com',b'Shop'
b'default.asp',b'HTML HOME'
b'html_intro.asp',b'HTML Introduction'
b'html_editors.asp',b'HTML Editors'
b'html_basic.asp',b'HTML Basic'
b'html_elements.asp',b'HTML Elements'
b'html_attributes.asp',b'HTML Attributes'
b'html_headings.asp',b'HTML Headings'
b'html_paragraphs.asp',b'HTML Paragraphs'
b'html_styles.asp',b'HTML Styles'
b'html_formatting.asp',b'HTML Formatting'
b'html_quotation_elements.asp',b'HTML Quotations'
b'html_comments.asp',b'HTML Comments'
b'html_colors.asp',b'HTML Colors'
b'html_colors.asp',b'Colors'
b'html_colors_rgb.asp',b'RGB'
b'html_colors_hex.asp',b'HEX'
b'html_colors_hsl.asp',b'HSL'
b'html_css.asp',b'HTML CSS'
b'html_links.asp',b'HTML Links'
b'html_links.asp',b'Links'
b'html_links_colors.asp',b'Link Colors'
b'html_links_bookmarks.asp',b'Link Bookmarks'
b'html_images.asp',b'HTML Images'
b'html_images.asp',b'Images'
b'html_images_imagemap.asp',b'Image Map'
b'html_images_background.asp',b'Background Images'
b'html_images_picture.asp',b'The Picture Element'
b'html_favicon.asp',b'HTML Favicon'
b'html_tables.asp',b'HTML Tables'
b'html_tables.asp',b'HTML Tables'
b'html_table_borders.asp',b'Table Borders'
b'html_table_sizes.asp',b'Table Sizes'
b'html_table_headers.asp',b'Table Headers'
b'html_table_padding_spacing.asp',b'Padding & Spacing'
b'html_table_colspan_rowspan.asp',b'Colspan & Rowspan'
b'html_table_styling.asp',b'Table Styling'
b'html_table_colgroup.asp',b'Table Colgroup'
b'html_lists.asp',b'HTML Lists'
b'html_lists.asp',b'Lists'
b'html_lists_unordered.asp',b'Unordered Lists'
b'html_lists_ordered.asp',b'Ordered Lists'
b'html_lists_other.asp',b'Other Lists'
b'html_blocks.asp',b'HTML Block & Inline'
b'html_classes.asp',b'HTML Classes'
b'html_id.asp',b'HTML Id'
b'html_iframe.asp',b'HTML Iframes'
b'html_scripts.asp',b'HTML JavaScript'
b'html_filepaths.asp',b'HTML File Paths'
b'html_head.asp',b'HTML Head'
b'html_layout.asp',b'HTML Layout'
b'html_responsive.asp',b'HTML Responsive'
b'html_computercode_elements.asp',b'HTML Computercode'
b'html5_semantic_elements.asp',b'HTML Semantics'
b'html5_syntax.asp',b'HTML Style Guide'
b'html_entities.asp',b'HTML Entities'
b'html_symbols.asp',b'HTML Symbols'
b'html_emojis.asp',b'HTML Emojis'
b'html_charset.asp',b'HTML Charset'
b'html_urlencode.asp',b'HTML URL Encode'
b'html_xhtml.asp',b'HTML vs. XHTML'
b'html_forms.asp',b'HTML Forms'
b'html_forms_attributes.asp',b'HTML Form Attributes'
b'html_form_elements.asp',b'HTML Form Elements'
b'html_form_input_types.asp',b'HTML Input Types'
b'html_form_attributes.asp',b'HTML Input Attributes'
b'html_form_attributes_form.asp',b'HTML Input Form Attributes'
b'html5_canvas.asp',b'HTML Canvas'
b'html5_svg.asp',b'HTML SVG'
b'html_media.asp',b'HTML Media'
b'html5_video.asp',b'HTML Video'
b'html5_audio.asp',b'HTML Audio'
b'html_object.asp',b'HTML Plug-ins'
b'html_youtube.asp',b'HTML YouTube'
b'html5_geolocation.asp',b'HTML Geolocation'
b'html5_draganddrop.asp',b'HTML Drag/Drop'
b'html5_webstorage.asp',b'HTML Web Storage'
b'html5_webworkers.asp',b'HTML Web Workers'
b'html5_serversentevents.asp',b'HTML SSE'
b'html_examples.asp',b'HTML Examples'
b'html_quiz.asp',b'HTML Quiz'
b'html_exercises.asp',b'HTML Exercises'
b'html_exam.asp',b'HTML Certificate'
b'html_summary.asp',b'HTML Summary'
b'html_accessibility.asp',b'HTML Accessibility'
b'/tags/default.asp',b'HTML Tag List'
b'/tags/ref_attributes.asp',b'HTML Attributes'
b'/tags/ref_standardattributes.asp',b'HTML Global Attributes'
b'/tags/ref_html_browsersupport.asp',b'HTML Browser Support'
b'/tags/ref_eventattributes.asp',b'HTML Events'
b'/tags/ref_colornames.asp',b'HTML Colors'
b'/tags/ref_canvas.asp',b'HTML Canvas'
b'/tags/ref_av_dom.asp',b'HTML Audio/Video'
b'/tags/ref_html_dtd.asp',b'HTML Doctypes'
b'/tags/ref_charactersets.asp',b'HTML Character Sets'
b'/tags/ref_urlencode.asp',b'HTML URL Encode'
b'/tags/ref_language_codes.asp',b'HTML Lang Codes'
b'/tags/ref_httpmessages.asp',b'HTTP Messages'
b'/tags/ref_httpmethods.asp',b'HTTP Methods'
b'/tags/ref_pxtoemconversion.asp',b'PX to EM Converter'
b'/tags/ref_keyboardshortcuts.asp',b'Keyboard Shortcuts'
b'/default.asp',b'\xe2\x9d\xae Home'
b'html_intro.asp',b'Next \xe2\x9d\xaf'
b'html_intro.asp',b'Study our free HTML Tutorial \xc2\xbb'
b'https://www.w3schools.com/videos/index.php',b'Watch our Video Tutorial \xc2\xbbNEW'
b'tryit.asp?filename=tryhtml_default',b'Try it Yourself \xc2\xbb'
b'html_examples.asp',b'Go to HTML Examples!'
b'exercise.asp?filename=exercise_html_attributes1',b'Start the Exercise'
b'html_quiz.asp',b'Start HTML Quiz!'
b'https://my-learning.w3schools.com/',b''
b'/tags/default.asp',b'HTML Elements'
b'/tags/ref_html_browsersupport.asp',b'Browser Support'
b'/tags/ref_attributes.asp',b'Attributes'
b'/tags/ref_standardattributes.asp',b'Global Attributes'
b'/tags/ref_eventattributes.asp',b'Event Attributes'
b'/tags/ref_colornames.asp',b'Color Names'
b'/tags/ref_canvas.asp',b'Canvas'
b'/tags/ref_av_dom.asp',b'Audio/Video DOM'
b'/tags/ref_charactersets.asp',b'Character Sets'
b'/tags/ref_urlencode.asp',b'URL Encoding'
b'/tags/ref_language_codes.asp',b'Language Codes'
b'/tags/ref_country_codes.asp',b'Country Codes'
b'/tags/ref_httpmessages.asp',b'HTTP Messages'
b'/tags/ref_pxtoemconversion.asp',b'Px to Em Converter'
b'/tags/ref_keyboardshortcuts.asp',b'Keyboard Shortcuts'
b'https://shop.w3schools.com/collections/course-catalog',b'Get certified'
b'/default.asp',b'\xe2\x9d\xae Home'
b'html_intro.asp',b'Next \xe2\x9d\xaf'
b'https://campus.w3schools.com/collections/course-catalog/products/w3schools-full-access-course',b''
b'/colors/colors_picker.asp',b'COLOR PICKER'
b'/colors/colors_picker.asp',b''
b'https://www.facebook.com/w3schoolscom/',b''
b'https://www.instagram.com/w3schools.com_official/',b''
b'https://www.linkedin.com/company/w3schools.com/',b''
b'https://discord.gg/6Z7UaRbUQM',b''
b'https://shop.w3schools.com/collections/course-catalog',b'w3schools CERTIFIED  .  2022'
b'https://shop.w3schools.com/collections/course-catalog',b'Get started'
b'https://www.w3schools.com/pro/index.php',b''
b'javascript:void(0);',b'Report Error'
b'javascript:void(0);',b'Report Error'
b'https://www.w3schools.com/spaces/',b'Spaces'
b'https://www.w3schools.com/spaces/',b'Spaces'
b'/pro/index.php',b'Upgrade'
b'/pro/index.php',b'Upgrade'
b'https://campus.w3schools.com/pages/newsletter',b'Newsletter'
b'https://campus.w3schools.com/pages/newsletter',b'Newsletter'
b'https://shop.w3schools.com/collections/certifications',b'Get Certified'
b'https://shop.w3schools.com/collections/certifications',b'Get Certified'
b'/html/default.asp',b'HTML Tutorial'
b'/css/default.asp',b'CSS Tutorial'
b'/js/default.asp',b'JavaScript Tutorial'
b'/howto/default.asp',b'How To Tutorial'
b'/sql/default.asp',b'SQL Tutorial'
b'/python/default.asp',b'Python Tutorial'
b'/w3css/default.asp',b'W3.CSS Tutorial'
b'/bootstrap/bootstrap_ver.asp',b'Bootstrap Tutorial'
b'/php/default.asp',b'PHP Tutorial'
b'/java/default.asp',b'Java Tutorial'
b'/cpp/default.asp',b'C++ Tutorial'
b'/jquery/default.asp',b'jQuery Tutorial'
b'/tags/default.asp',b'HTML Reference'
b'/cssref/index.php',b'CSS Reference'
b'/jsref/default.asp',b'JavaScript Reference'
b'/sql/sql_ref_keywords.asp',b'SQL Reference'
b'/python/python_reference.asp',b'Python Reference'
b'/w3css/w3css_references.asp',b'W3.CSS Reference'
b'/bootstrap/bootstrap_ref_all_classes.asp',b'Bootstrap Reference'
b'/php/php_ref_overview.asp',b'PHP Reference'
b'/colors/colors_names.asp',b'HTML Colors'
b'/java/java_ref_keywords.asp',b'Java Reference'
b'/angular/angular_ref_directives.asp',b'Angular Reference'
b'/jquery/jquery_ref_overview.asp',b'jQuery Reference'
b'/html/html_examples.asp',b'HTML Examples'
b'/css/css_examples.asp',b'CSS Examples'
b'/js/js_examples.asp',b'JavaScript Examples'
b'/howto/default.asp',b'How To Examples'
b'/sql/sql_examples.asp',b'SQL Examples'
b'/python/python_examples.asp',b'Python Examples'
b'/w3css/w3css_examples.asp',b'W3.CSS Examples'
b'/bootstrap/bootstrap_examples.asp',b'Bootstrap Examples'
b'/php/php_examples.asp',b'PHP Examples'
b'/java/java_examples.asp',b'Java Examples'
b'/xml/xml_examples.asp',b'XML Examples'
b'/jquery/jquery_examples.asp',b'jQuery Examples'
b'https://shop.w3schools.com/collections/course-catalog',b'Get Certified'
b'https://campus.w3schools.com/collections/certifications/products/html-certificate',b'HTML Certificate'
b'https://campus.w3schools.com/collections/certifications/products/css-certificate',b'CSS Certificate'
b'https://campus.w3schools.com/collections/certifications/products/javascript-certificate',b'JavaScript Certificate'
b'https://campus.w3schools.com/collections/certifications/products/front-end-certificate',b'Front End Certificate'
b'https://campus.w3schools.com/collections/certifications/products/sql-certificate',b'SQL Certificate'
b'https://campus.w3schools.com/collections/certifications/products/python-certificate',b'Python Certificate'
b'https://campus.w3schools.com/collections/certifications/products/php-certificate',b'PHP Certificate'
b'https://campus.w3schools.com/collections/certifications/products/jquery-certificate',b'jQuery Certificate'
b'https://campus.w3schools.com/collections/certifications/products/java-certificate',b'Java Certificate'
b'https://campus.w3schools.com/collections/certifications/products/c-certificate',b'C++ Certificate'
b'https://campus.w3schools.com/collections/certifications/products/c-certificate-1',b'C# Certificate'
b'https://campus.w3schools.com/collections/certifications/products/xml-certificate',b'XML Certificate'
b'/forum/default.asp',b'FORUM'
b'/about/default.asp',b'ABOUT'
b'/about/about_copyright.asp',b'terms of use'
b'/about/about_privacy.asp',b'cookie and privacy policy'
b'/about/about_copyright.asp',b'Copyright 1999-2023'
b'//www.w3schools.com/w3css/default.asp',b'W3Schools is Powered by W3.CSS'
b'//www.w3schools.com',b''
